id;name;description;type
1;solid state Steel;Plains;overriding Fresh
2;Somoni;Facilitator;purple e-commerce Investment Account
3;generating;Legacy Health;Credit Card Account Unbranded Wooden Bacon pixel
4;Open-source exploit Credit Card Account;innovative Car;teal
5;Rial Omani neural Via;deposit;Manager synthesize
6;intranet Baby bypassing;Ball grow;Manager deposit
7;back up;Generic;circuit Savings Account zero administration
8;Marketing;Savings Account Clothing Program;European Unit of Account 17(E.U.A.-17) Berkshire
9;Strategist Unbranded Cotton Hat Architect;Operations;green
10;Eritrea;CSS;primary program North Dakota
